Route_name,Time_stamp,Maximum_queue_length_points,Maximum_queue_length_meters,Num_vehicles,Coordinates
,,,,,
23.732925,23.732925,130,7.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732893,23.732893,130,7.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732214,23.732214,248,7.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732832,23.732832,130,8.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733584,23.733584,154,15.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733553,23.733553,154,16.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732639,23.732639,123,16.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732611,23.732611,123,17.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733457,23.733457,154,17.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733425,23.733425,154,17.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733391,23.733391,154,18.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733426,23.733426,157,18.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731515,23.731515,103,20.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731592,23.731592,176,21,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731555,23.731555,176,21.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732273,23.732273,171,34.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732243,23.732243,171,35.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732212,23.732212,171,35.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732179,23.732179,171,35.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733555,23.733555,338,37.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731853,23.731853,157,37.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733426,23.733426,329,37.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733395,23.733395,329,38.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733457,23.733457,338,38.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73343,23.73343,338,38.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732321,23.732321,203,39.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733333,23.733333,338,40.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732317,23.732317,280,43.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733989,23.733989,278,45,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733056,23.733056,329,45.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73233,23.73233,198,46.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733052,23.733052,338,46.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733981,23.733981,211,46.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732328,23.732328,283,48.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73233,23.73233,284,49.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732321,23.732321,302,51.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732343,23.732343,191,54.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732208,23.732208,196,56.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732316,23.732316,341,57.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732209,23.732209,189,58.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732228,23.732228,337,62.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732245,23.732245,57,65.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732246,23.732246,84,68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732222,23.732222,214,70.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732215,23.732215,214,72.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732234,23.732234,353,72.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732242,23.732242,357,74.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731374,23.731374,395,75.2,OktovriouIs28_tw_South,
,,,,,
23.731371,23.731371,395,76.12,OktovriouIs28_tw_South,
,,,,,
23.731938,23.731938,214,76.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732397,23.732397,329,86.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732369,23.732369,329,87.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73234,23.73234,329,87.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732315,23.732315,329,87.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732256,23.732256,329,88.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73219,23.73219,329,89,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732927,23.732927,401,91.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732833,23.732833,391,91.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732014,23.732014,142,91.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731982,23.731982,142,92.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732894,23.732894,401,92.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.7328,23.7328,391,92.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732906,23.732906,406,93.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732769,23.732769,391,93.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732863,23.732863,401,93.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732868,23.732868,406,93.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732831,23.732831,406,94.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732097,23.732097,163,94.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732041,23.732041,163,95.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732015,23.732015,163,95.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732987,23.732987,411,95.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732768,23.732768,401,95.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731983,23.731983,163,95.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732099,23.732099,287,96.12,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73207,23.73207,287,96.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732045,23.732045,287,96.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732016,23.732016,287,97.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731985,23.731985,287,97.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732701,23.732701,400,97.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731855,23.731855,170,97.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732615,23.732615,400,98.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731627,23.731627,309,98.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732221,23.732221,406,98.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73162,23.73162,309,99,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731598,23.731598,309,99.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731592,23.731592,309,100.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733143,23.733143,462,100.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733114,23.733114,462,100.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731572,23.731572,309,101.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732361,23.732361,308,101.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732217,23.732217,312,102.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732923,23.732923,462,103.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732893,23.732893,462,103.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732182,23.732182,325,105,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733458,23.733458,514,106.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731558,23.731558,309,106.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733429,23.733429,514,107,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733301,23.733301,514,108.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733206,23.733206,514,108.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733175,23.733175,514,109.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731653,23.731653,411,110.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732925,23.732925,514,110.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731623,23.731623,411,111.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73286,23.73286,514,111.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732767,23.732767,514,112.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73305,23.73305,505,113.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733743,23.733743,533,113.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733581,23.733581,533,115.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733331,23.733331,533,118.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733302,23.733302,533,118.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731285,23.731285,587,119.84,OktovriouIs28_tw_South,
,,,,,
23.731284,23.731284,587,120.08,OktovriouIs28_tw_South,
,,,,,
23.733205,23.733205,533,120.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733583,23.733583,565,121.36,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731278,23.731278,587,121.52,OktovriouIs28_tw_South,
,,,,,
23.733554,23.733554,565,121.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731849,23.731849,514,122.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731242,23.731242,584,123.76,OktovriouIs28_tw_South,
,,,,,
23.733021,23.733021,559,124.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732992,23.732992,559,124.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733177,23.733177,565,125.16,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733331,23.733331,574,125.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733144,23.733144,565,125.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732927,23.732927,559,125.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731854,23.731854,505,125.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733207,23.733207,574,126.52,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733021,23.733021,565,126.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733176,23.733176,574,126.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732325,23.732325,476,132.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731806,23.731806,471,132.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731781,23.731781,471,132.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732317,23.732317,490,135.76,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732347,23.732347,490,136.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732313,23.732313,333,137.24,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73235,23.73235,438,137.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.73234,23.73234,333,138.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732316,23.732316,354,140.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731268,23.731268,587,140.44,OktovriouIs28_tw_South,
,,,,,
23.731268,23.731268,587,140.72,OktovriouIs28_tw_South,
,,,,,
23.732346,23.732346,354,141.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733995,23.733995,379,143.56,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732324,23.732324,426,143.96,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732323,23.732323,496,145.28,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732348,23.732348,496,146.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732323,23.732323,529,146.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.734002,23.734002,409,147.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732348,23.732348,529,147.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732229,23.732229,598,151.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731307,23.731307,543,152.2,OktovriouIs28_tw_South,
,,,,,
23.731306,23.731306,543,152.32,OktovriouIs28_tw_South,
,,,,,
23.733972,23.733972,560,152.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732236,23.732236,530,154.68,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732246,23.732246,538,157.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731356,23.731356,642,160.8,OktovriouIs28_tw_South,
,,,,,
23.733241,23.733241,546,162.08,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.734128,23.734128,627,164.92,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733426,23.733426,651,171.84,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733332,23.733332,627,172.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733303,23.733303,627,172.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733334,23.733334,651,172.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732995,23.732995,651,177.32,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732863,23.732863,627,178.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732767,23.732767,627,180,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732184,23.732184,481,181.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731898,23.731898,435,182.44,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732609,23.732609,651,182.6,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.731877,23.731877,435,182.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732923,23.732923,647,182.72,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732893,23.732893,647,183.2,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732862,23.732862,647,183.64,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732832,23.732832,647,184.04,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732299,23.732299,627,184.48,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.732769,23.732769,647,184.8,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733054,23.733054,683,185.4,LeofAlexandras_tw_28isOktovriou,
,,,,,
23.733022,23.733022,683,185.88,LeofAlexandras_tw_28isOktovriou,
,,,,,
